user_id,subject_id
12749249,22
12749249,20
12749249,10
213420,2233
213420,2238
213420,2236
15314,122
13144665,122
13144665,126
13144665,125
13144665,121
232,18
232,24
232,20
232,25
13948224,115
13948224,111
13948224,112
13948224,114
13562031,46
13562031,33
13562031,48
13562031,58
13562031,22
13562031,25
13562031,26
13562031,10
10100753,134
10100753,133
10100753,129
10100753,132
13921380,96
13921380,84
13921380,95
13921380,93
13768350,61
13768350,78
13768350,59
13768350,76
333,11
333,13
333,15
333,17
13396755,126
13396755,125
13396755,122
13396755,121
13872057,123
13872057,126
13872057,125
13872057,121
13465263,127
13465263,129
13465263,134
13465263,132
12749245,118
12749245,115
12749245,113
12749245,114
13565504,2
13565504,22
13565504,10
13565504,8
15309,123
15309,125
15309,120
15309,121
12749259,122
12749259,126
12749259,123
12749259,125
15319,125
15319,126
15319,122
15319,123
15338,129
15338,127
15338,133
15338,134
15339,123
15339,122
15339,126
15339,121
15331,129
15331,127
15331,130
15331,133
15310,126
15310,126
15310,123
15310,123
15310,121
15310,121
13827779,32
13827779,25
15310,122
15310,122
15348,129
15348,134
12748791,64
12748791,61
12748791,78
13241569,96
13241569,98
13241569,91
15348,132
15348,131
13563809,125
13563809,123
13563809,124
13563809,120
13563783,123
13563783,125
13563783,122
13563783,124
13563825,125
13563825,126
13563825,120
13563825,123
13563803,124
13563803,126
13563803,125
13563803,121
13563507,115
13563507,118
13563507,114
13563507,111
13563841,125
13563841,126
13563841,120
13563841,121
13188349,133
13188349,129
13188349,132
13188349,131
13814056,41
13814056,39
13814056,45
13814056,33
25960,125
25960,122
25960,123
25960,124
12975527,115
13682929,120
13682925,123
13682925,122
13682925,124
13682925,125
13144674,46
13144674,50
13144674,33
13144674,37
12841715,79
12841715,73
12841715,90
12841715,75
5978,43
5978,33
5978,41
5978,46
13563170,133
13563170,130
13563170,132
13563170,131
225,18
225,22
225,20
225,25
13188341,80
13188341,95
13188341,93
13188341,82
13442504,22
13442504,26
13442504,10
13442504,2
27021,72
27021,66
27021,64
27021,61
13442504,122
13442504,121
13442504,123
13442504,125
13563060,122
13563060,123
13563060,120
13563060,121
13563659,111
13563659,117
13563659,115
13563659,113
13329050,113
13329050,114
13329050,118
13329050,115
13682935,134
13682935,127
13682935,129
13682935,132
13682965,111
13682965,112
13682965,115
13682965,113
13682947,122
13682947,125
13682947,123
13682947,124
13682995,115
13682995,113
13682995,112
13682995,111
13682927,123
13682927,122
13682927,125
13682927,124
13682967,117
13682967,116
13682967,111
13682967,113
13682907,122
